zakaznik,datum_od,datum_do,zakazka
321,2/14/2019,10/24/2019,442
378,7/16/2017,9/24/2019,639
100,11/11/2015,1/26/2020,727
136,9/9/2016,3/10/2020,166
13,6/16/2013,4/4/2020,526
105,8/6/2019,8/4/2019,654
201,7/24/2015,10/21/2019,128
125,7/31/2014,7/7/2019,797
201,1/3/2013,7/7/2019,690
119,1/14/2017,12/12/2019,443
168,11/23/2017,12/6/2019,457
112,10/3/2019,10/6/2019,710
340,10/12/2013,10/25/2019,656
24,8/14/2017,9/16/2019,433
310,9/5/2016,9/5/2019,639
11,9/26/2012,5/8/2020,729
257,7/5/2011,10/17/2019,573
232,6/25/2017,10/22/2019,522
181,12/27/2015,5/11/2020,458
351,5/22/2017,8/2/2019,65
47,9/3/2011,7/4/2020,473
383,7/23/2011,2/29/2020,337
350,5/31/2013,5/31/2020,212
19,2/8/2020,5/26/2020,433
78,11/13/2019,4/24/2020,310
102,3/2/2014,4/21/2020,381
266,11/6/2015,11/2/2019,513
381,4/11/2014,12/22/2019,191
293,10/6/2012,7/21/2019,533
286,6/5/2016,11/15/2019,190
314,5/11/2015,10/11/2019,491
140,7/6/2013,12/26/2019,677
157,8/14/2018,6/26/2020,388
368,4/4/2016,12/31/2019,788
359,4/8/2018,10/16/2019,422
73,9/16/2010,3/15/2020,108
86,3/15/2015,9/30/2019,401
249,8/27/2013,6/3/2020,19
22,5/9/2020,2/10/2020,72
181,5/30/2011,8/25/2019,705
169,10/7/2014,10/19/2019,452
126,3/24/2015,2/2/2020,737
5,10/12/2015,9/16/2019,621
107,11/26/2019,3/9/2020,327
313,12/13/2019,1/20/2020,12
143,11/4/2014,12/15/2019,623
192,7/21/2012,6/11/2020,24
233,11/4/2014,6/11/2020,384
258,11/6/2012,9/22/2019,427
243,8/25/2014,5/31/2020,145
180,9/13/2014,4/2/2020,773
7,6/21/2018,7/31/2019,351
205,11/13/2011,4/9/2020,513
230,12/5/2018,8/14/2019,585
141,12/8/2010,12/25/2019,306
39,11/23/2011,2/20/2020,574
350,10/2/2016,9/8/2019,641
107,12/30/2015,5/29/2020,277
157,9/5/2017,6/3/2020,337
309,2/3/2016,2/12/2020,475
360,4/6/2015,10/9/2019,619
146,10/3/2015,8/2/2019,623
77,1/6/2020,5/4/2020,531
395,2/20/2017,4/1/2020,262
293,6/6/2015,2/22/2020,96
256,12/17/2018,7/6/2019,495
58,5/11/2020,3/14/2020,430
218,11/8/2012,8/7/2019,562
200,7/23/2010,6/20/2020,334
113,12/22/2019,7/4/2020,668
133,4/22/2014,5/17/2020,122
247,1/23/2012,11/25/2019,543
229,10/16/2015,4/24/2020,50
18,6/11/2020,2/25/2020,262
345,4/24/2014,5/10/2020,553
109,3/22/2014,2/2/2020,791
25,7/20/2010,7/21/2019,794
191,7/6/2015,8/15/2019,532
170,9/20/2018,11/10/2019,224
236,8/25/2012,5/8/2020,227
87,4/29/2019,7/9/2019,173
391,10/4/2014,9/16/2019,425
359,8/12/2014,3/8/2020,569
344,2/21/2019,2/13/2020,754
356,7/9/2017,2/5/2020,594
60,3/28/2016,2/3/2020,56
170,7/13/2011,3/3/2020,499
311,2/4/2019,12/26/2019,752
313,4/17/2018,3/12/2020,699
257,2/26/2017,1/30/2020,631
103,2/23/2020,2/16/2020,359
108,9/14/2010,5/14/2020,274
306,7/20/2010,12/25/2019,12
