zakaznik,datum_prijeti,datum_vyrizeni,zakazka
206,10/17/2019,2/26/2020,369
183,7/4/2019,8/2/2019,110
345,4/10/2020,4/20/2020,659
20,12/27/2019,6/15/2020,647
227,5/4/2020,7/19/2019,53
263,1/17/2020,6/27/2020,523
209,1/12/2020,5/17/2020,592
118,10/14/2019,8/28/2019,2
174,10/11/2019,8/27/2019,303
369,9/2/2019,9/7/2019,715
273,1/7/2020,8/11/2019,184
266,11/1/2019,12/20/2019,352
96,12/11/2019,12/22/2019,19
340,11/28/2019,7/20/2019,116
124,10/16/2019,4/19/2020,388
366,1/17/2020,12/8/2019,617
163,10/25/2019,2/8/2020,49
362,4/30/2020,6/11/2020,15
234,3/15/2020,7/15/2019,715
11,2/7/2020,6/4/2020,384
202,12/27/2019,7/23/2019,442
165,12/30/2019,5/26/2020,124
74,10/12/2019,4/8/2020,69
297,1/28/2020,11/2/2019,304
317,3/20/2020,6/10/2020,56
274,12/29/2019,5/31/2020,635
159,7/15/2019,7/22/2019,34
292,12/24/2019,7/8/2019,775
266,6/15/2020,8/20/2019,43
277,12/21/2019,6/30/2020,189
198,11/10/2019,11/12/2019,287
336,12/22/2019,8/20/2019,103
282,11/10/2019,4/12/2020,671
261,5/24/2020,7/23/2019,399
288,1/27/2020,11/9/2019,194
376,12/24/2019,8/6/2019,342
89,11/1/2019,4/11/2020,12
227,3/18/2020,4/3/2020,330
319,12/16/2019,5/30/2020,492
369,11/9/2019,9/16/2019,107
346,5/12/2020,6/20/2020,284
52,11/11/2019,6/8/2020,699
295,12/29/2019,5/3/2020,675
145,11/19/2019,6/11/2020,687
71,1/10/2020,2/19/2020,277
29,6/7/2020,7/14/2019,642
15,12/15/2019,2/27/2020,452
264,6/4/2020,9/25/2019,64
270,2/10/2020,3/3/2020,290
37,11/17/2019,11/20/2019,420
291,1/14/2020,11/1/2019,389
285,7/20/2019,9/14/2019,744
11,11/28/2019,9/19/2019,418
282,1/13/2020,4/13/2020,606
239,1/5/2020,2/23/2020,431
42,4/8/2020,8/2/2019,766
349,5/7/2020,9/11/2019,306
391,8/20/2019,8/27/2019,670
396,2/5/2020,9/14/2019,36
44,2/16/2020,6/2/2020,459
243,11/19/2019,9/2/2019,28
47,8/11/2019,8/16/2019,259
74,6/24/2020,9/20/2019,176
380,11/4/2019,12/12/2019,160
392,10/4/2019,8/21/2019,694
14,1/6/2020,4/19/2020,81
63,10/19/2019,3/1/2020,478
42,10/9/2019,4/16/2020,81
361,11/27/2019,9/22/2019,443
18,5/13/2020,9/17/2019,716
64,2/28/2020,8/20/2019,27
4,11/19/2019,4/21/2020,674
311,2/17/2020,4/29/2020,560
328,1/22/2020,12/31/2019,192
250,2/22/2020,6/4/2020,735
310,2/14/2020,8/3/2019,290
369,1/16/2020,8/27/2019,440
