id_nabidky,typ_sluzby,datum_od,datum_do,zakazka
1,UDRZBA_ZAHRADY,10/17/2019,2/26/2020,43
2,UDRZBA_ZAHRADY,7/4/2019,8/2/2019,73
3,REALIZACE,4/10/2020,4/20/2020,106
4,REALIZACE,12/27/2019,6/15/2020,141
5,UDRZBA_ZAHRADY,5/4/2020,7/19/2019,150
6,REALIZACE,1/17/2020,6/27/2020,12
7,REALIZACE,1/12/2020,5/17/2020,166
8,REALIZACE,10/14/2019,8/28/2019,15
9,REALIZACE,10/11/2019,8/27/2019,36
10,REALIZACE,9/2/2019,9/7/2019,21
11,REALIZACE,1/7/2020,8/11/2019,182
12,REALIZACE,11/1/2019,12/20/2019,117
13,UDRZBA_ZAHRADY,12/11/2019,12/22/2019,179
14,UDRZBA_ZAHRADY,11/28/2019,7/20/2019,83
15,UDRZBA_ZAHRADY,10/16/2019,4/19/2020,23
16,UDRZBA_ZAHRADY,1/17/2020,12/8/2019,170
17,REALIZACE,10/25/2019,2/8/2020,25
18,UDRZBA_ZAHRADY,4/30/2020,6/11/2020,147
19,REALIZACE,3/15/2020,7/15/2019,185
20,REALIZACE,2/7/2020,6/4/2020,95
21,UDRZBA_ZAHRADY,12/27/2019,7/23/2019,25
22,UDRZBA_ZAHRADY,12/30/2019,5/26/2020,178
23,REALIZACE,10/12/2019,4/8/2020,25
24,UDRZBA_ZAHRADY,1/28/2020,11/2/2019,176
25,REALIZACE,3/20/2020,6/10/2020,174
26,UDRZBA_ZAHRADY,12/29/2019,5/31/2020,191
27,UDRZBA_ZAHRADY,7/15/2019,7/22/2019,12
28,UDRZBA_ZAHRADY,12/24/2019,7/8/2019,141
29,REALIZACE,6/15/2020,8/20/2019,164
30,UDRZBA_ZAHRADY,12/21/2019,6/30/2020,21
31,UDRZBA_ZAHRADY,11/10/2019,11/12/2019,22
32,UDRZBA_ZAHRADY,12/22/2019,8/20/2019,96
33,REALIZACE,11/10/2019,4/12/2020,197
34,UDRZBA_ZAHRADY,5/24/2020,7/23/2019,112
35,REALIZACE,1/27/2020,11/9/2019,138
36,UDRZBA_ZAHRADY,12/24/2019,8/6/2019,109
37,REALIZACE,11/1/2019,4/11/2020,102
38,REALIZACE,3/18/2020,4/3/2020,78
39,UDRZBA_ZAHRADY,12/16/2019,5/30/2020,113
40,UDRZBA_ZAHRADY,11/9/2019,9/16/2019,165
41,REALIZACE,5/12/2020,6/20/2020,63
42,REALIZACE,11/11/2019,6/8/2020,68
43,UDRZBA_ZAHRADY,12/29/2019,5/3/2020,75
44,UDRZBA_ZAHRADY,11/19/2019,6/11/2020,35
45,UDRZBA_ZAHRADY,1/10/2020,2/19/2020,77
46,UDRZBA_ZAHRADY,6/7/2020,7/14/2019,96
47,REALIZACE,12/15/2019,2/27/2020,157
48,REALIZACE,6/4/2020,9/25/2019,45
49,REALIZACE,2/10/2020,3/3/2020,194
50,REALIZACE,11/17/2019,11/20/2019,61
51,UDRZBA_ZAHRADY,1/14/2020,11/1/2019,62
52,REALIZACE,7/20/2019,9/14/2019,17
53,UDRZBA_ZAHRADY,11/28/2019,9/19/2019,101
54,UDRZBA_ZAHRADY,1/13/2020,4/13/2020,11
55,REALIZACE,1/5/2020,2/23/2020,53
56,REALIZACE,4/8/2020,8/2/2019,96
57,UDRZBA_ZAHRADY,5/7/2020,9/11/2019,70
58,UDRZBA_ZAHRADY,8/20/2019,8/27/2019,80
59,REALIZACE,2/5/2020,9/14/2019,139
60,REALIZACE,2/16/2020,6/2/2020,27
61,REALIZACE,11/19/2019,9/2/2019,34
62,REALIZACE,8/11/2019,8/16/2019,70
63,UDRZBA_ZAHRADY,6/24/2020,9/20/2019,183
64,UDRZBA_ZAHRADY,11/4/2019,12/12/2019,95
65,REALIZACE,10/4/2019,8/21/2019,123
66,UDRZBA_ZAHRADY,1/6/2020,4/19/2020,37
67,REALIZACE,10/19/2019,3/1/2020,199
68,UDRZBA_ZAHRADY,10/9/2019,4/16/2020,49
69,UDRZBA_ZAHRADY,11/27/2019,9/22/2019,89
70,REALIZACE,5/13/2020,9/17/2019,109
71,REALIZACE,2/28/2020,8/20/2019,128
72,UDRZBA_ZAHRADY,11/19/2019,4/21/2020,185
73,REALIZACE,2/17/2020,4/29/2020,191
74,UDRZBA_ZAHRADY,1/22/2020,12/31/2019,62
75,UDRZBA_ZAHRADY,2/22/2020,6/4/2020,41
76,UDRZBA_ZAHRADY,2/14/2020,8/3/2019,76
77,REALIZACE,1/16/2020,8/27/2019,59
78,UDRZBA_ZAHRADY,11/8/2019,4/8/2020,23
79,UDRZBA_ZAHRADY,11/30/2019,9/6/2019,115
80,UDRZBA_ZAHRADY,10/10/2019,12/6/2019,195
81,REALIZACE,8/23/2019,9/13/2019,169
82,REALIZACE,1/10/2020,5/24/2020,73
83,UDRZBA_ZAHRADY,11/14/2019,11/27/2019,51
84,REALIZACE,3/10/2020,8/4/2019,27
85,REALIZACE,10/9/2019,7/1/2020,83
86,UDRZBA_ZAHRADY,8/15/2019,8/28/2019,129
87,REALIZACE,12/17/2019,3/11/2020,118
88,REALIZACE,5/2/2020,7/16/2019,90
89,UDRZBA_ZAHRADY,1/16/2020,6/8/2020,199
90,UDRZBA_ZAHRADY,5/4/2020,6/29/2020,83
91,REALIZACE,12/19/2019,4/20/2020,140
92,REALIZACE,12/20/2019,6/21/2020,147
93,UDRZBA_ZAHRADY,2/25/2020,5/17/2020,90
94,REALIZACE,11/29/2019,6/3/2020,110
95,REALIZACE,2/14/2020,5/14/2020,147
96,REALIZACE,10/8/2019,2/9/2020,4
97,REALIZACE,1/24/2020,9/16/2019,73
98,REALIZACE,4/4/2020,7/16/2019,67
99,REALIZACE,12/22/2019,12/28/2019,35
100,UDRZBA_ZAHRADY,1/3/2020,4/10/2020,125
101,UDRZBA_ZAHRADY,10/8/2019,12/12/2019,112
102,UDRZBA_ZAHRADY,2/2/2020,4/27/2020,69
103,REALIZACE,12/13/2019,6/28/2020,38
104,UDRZBA_ZAHRADY,1/16/2020,12/22/2019,35
105,REALIZACE,3/27/2020,9/4/2019,158
106,UDRZBA_ZAHRADY,10/22/2019,2/26/2020,93
107,REALIZACE,6/20/2020,7/19/2019,135
108,REALIZACE,5/24/2020,5/6/2020,4
109,UDRZBA_ZAHRADY,2/17/2020,6/7/2020,171
110,UDRZBA_ZAHRADY,10/17/2019,2/16/2020,13
111,UDRZBA_ZAHRADY,6/25/2020,9/1/2019,137
112,REALIZACE,11/22/2019,2/10/2020,10
113,REALIZACE,1/20/2020,12/15/2019,193
114,REALIZACE,6/12/2020,8/6/2019,121
115,REALIZACE,3/4/2020,7/26/2019,87
116,UDRZBA_ZAHRADY,12/18/2019,6/17/2020,2
117,REALIZACE,7/4/2019,8/29/2019,119
118,UDRZBA_ZAHRADY,3/14/2020,3/3/2020,75
119,REALIZACE,1/5/2020,8/20/2019,14
120,UDRZBA_ZAHRADY,12/10/2019,9/6/2019,6
121,UDRZBA_ZAHRADY,4/9/2020,7/11/2019,113
122,REALIZACE,11/12/2019,11/8/2019,90
123,REALIZACE,9/27/2019,9/6/2019,7
124,UDRZBA_ZAHRADY,1/12/2020,9/12/2019,42
125,REALIZACE,10/23/2019,2/24/2020,76
126,UDRZBA_ZAHRADY,11/19/2019,2/21/2020,174
127,UDRZBA_ZAHRADY,1/15/2020,10/23/2019,140
128,REALIZACE,10/17/2019,2/10/2020,75
129,UDRZBA_ZAHRADY,10/8/2019,4/14/2020,182
130,REALIZACE,7/3/2019,8/10/2019,13
131,UDRZBA_ZAHRADY,11/23/2019,6/29/2020,169
132,REALIZACE,1/26/2020,2/12/2020,147
133,UDRZBA_ZAHRADY,10/20/2019,9/26/2019,10
134,UDRZBA_ZAHRADY,2/26/2020,3/7/2020,200
135,REALIZACE,10/13/2019,3/7/2020,118
136,UDRZBA_ZAHRADY,10/18/2019,10/8/2019,180
137,UDRZBA_ZAHRADY,2/23/2020,3/30/2020,27
138,UDRZBA_ZAHRADY,1/4/2020,12/21/2019,7
139,UDRZBA_ZAHRADY,5/29/2020,9/17/2019,116
140,UDRZBA_ZAHRADY,5/4/2020,6/16/2020,42
141,UDRZBA_ZAHRADY,11/4/2019,12/4/2019,116
142,REALIZACE,1/13/2020,5/21/2020,186
